"Date","Close","Volume"
"05.02.2019",1075.07,132109196
"06.02.2019",1072.91,118772241
"07.02.2019",1044.28,167664646
"08.02.2019",1031.03,164222134
"11.02.2019",1040.84,116044491
"12.02.2019",1050.5,117427478
"13.02.2019",1054.05,114558675
"14.02.2019",1048.02,137215155
"15.02.2019",1066.54,164260920
"18.02.2019",1067.78,91967663
"19.02.2019",1068.67,109572368
"20.02.2019",1076.88,115694339
"21.02.2019",1076.24,123748345
"22.02.2019",1077.99,107150126
"25.02.2019",1082.25,108091926
"26.02.2019",1085,117544610
"27.02.2019",1079.65,131546201
"28.02.2019",1083.17,146389167
"01.03.2019",1094.15,126048840
"04.03.2019",1095.79,98316666
"05.03.2019",1097.06,108866206
"06.03.2019",1093.65,109205886
"07.03.2019",1084.72,158158437
"08.03.2019",1077.85,128938810
"11.03.2019",1085.86,118943869
"12.03.2019",1084.35,137918314
"13.03.2019",1088.7,121784899
"14.03.2019",1091.82,137240964
"15.03.2019",1100.49,281899432
"18.03.2019",1099.31,151262378
